article_id,article_url,article_title,image_id,image_path,caption
1,https://www.rfdtv.com/helena-agri-enterprises-hosts-evolve-innovations-expo-in-memphis,Helena Agri-Enterprises hosts Evolve Innovations Expo in Memphis,2745A43B9E53413E39DFD0B2E52500B1,news_images/news_images/2745A43B9E53413E39DFD0B2E52500B1.jpg,a news anchor sitting at a desk in front of a large screen with the word evolve on it
2,https://943wsc.iheart.com/content/2023-07-19-no-evidence-of-toddler-on-highway-before-carlee-russell-vanished-cops/,No Evidence Of Toddler On Highway Before Carlee Russell Vanished: Cops,37FC359AB91C0DC6D21D270AED0C87E3,news_images/news_images/37FC359AB91C0DC6D21D270AED0C87E3.jpg,an african american woman is smiling in front of a building
3,https://kowb1290.com/laramie-rangers-play-final-home-games-of-2023/,Laramie Rangers Play Final Home Games of 2023,59495628A854CBBC399881F38DF6471F,news_images/news_images/59495628A854CBBC399881F38DF6471F.jpg,a group of baseball players huddle together on the field
4,https://www.mapleridgenews.com/news/undesired-air-brake-release-behind-b-c-train-derailment-near-alberta-report/,'Undesired' air brake release behind B.C. train derailment near Alberta: report,74921B2C67ED9EA6A509A09FFE2C42DC,news_images/news_images/74921B2C67ED9EA6A509A09FFE2C42DC.jpg,a map showing the route of the british columbia highway
5,https://www.fourfourtwo.com/news/why-england-can-win-the-womens-world-cup-2023-despite-missing-key-players,Why England CAN win the Women's World Cup 2023 - despite missing key players,E10A3861C9122D8704CFE5A6A8343867,news_images/news_images/E10A3861C9122D8704CFE5A6A8343867.jpg,an image of a soccer player with her mouth open
6,https://www.nbcchicago.com/news/business/money-report/house-committee-takes-aim-at-u-s-venture-capital-firms-for-investments-in-chinese-a-i/3190157/,House committee takes aim at U.S. venture capital firms for investments in Chinese A.I.,91557C90C8212ADA6007EF98B4418D4B,news_images/news_images/91557C90C8212ADA6007EF98B4418D4B.jpg,a man in a suit and tie standing in front of the capitol building
7,https://943wsc.iheart.com/content/2023-07-19-national-park-service-issues-warning-after-second-woman-attacked-by-bison/,National Park Service Issues Warning After Second Woman Attacked By Bison,A053193F3F526ED7B1E5A21291012A39,news_images/news_images/A053193F3F526ED7B1E5A21291012A39.jpg,a herd of bison walking through the woods
8,https://people.com/hero-dog-reward-locating-escaped-inmate-michael-burnham-7562980,"Hero Dog Gets $2,000 Reward for Locating Escaped Inmate Michael Burham",F57D8EB7A534629EA167316F9B74FB95,news_images/news_images/F57D8EB7A534629EA167316F9B74FB95.jpg,a brown dog running in the grass with a ball in its mouth
9,https://www.marketscreener.com/quote/currency/EURO-US-DOLLAR-EUR-USD-4591/news/Global-stocks-dollar-gain-as-UK-cooling-inflation-lifts-sentiment-44372260/,"Global stocks, dollar gain as UK cooling inflation lifts sentiment",4DEE0174F0B8560C7EA4F37DDF846421,news_images/news_images/4DEE0174F0B8560C7EA4F37DDF846421.jpg,several different types of money and coins in a drawer
10,https://weisradio.com/2023/07/19/6-more-heat-related-deaths-confirmed-in-maricopa-county-arizona/,"6 more heat-related deaths confirmed in Maricopa County, Arizona - WEIS | Local & Area News, Sports, & Weather",E0694AF8601B81A91691AF5F6972128D,news_images/news_images/E0694AF8601B81A91691AF5F6972128D.jpg,a map of the united states showing heat wave advisories
