article_id,article_url,article_title,image_id,image_path,caption
8503,https://resolver.kb.nl/resolve?urn=MMSAA06:165575043:mpeg21:p00001,HH's visit MM. the queens at the Onze Lieve Vrouwe guesthouse.,ecebad66d2b4fd4e7bbb2b97d57bb100,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/ecebad66d2b4fd4e7bbb2b97d57bb100.jpg,an old black and white photo of people in a room
8502,https://resolver.kb.nl/resolve?urn=MMSAA06:165575004:mpeg21:p00001,The demise of 'Burgundy'.,3d446f6d460b6c80ed8bb7eed7a608f3,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/3d446f6d460b6c80ed8bb7eed7a608f3.jpg,a black and white drawing of people on a boat in rough water
8506,https://resolver.kb.nl/resolve?urn=MMRHCE02:163636034:mpeg21:p00001,"Moscow against 'free airspace' KROESJEF DOES NOT CHANGE JUDGMENT ABOUT IKE US PRESIDENT TO RUSSIA? MOSCOW-WASHINGTON, May 12.",fe269637ca212eaba179461c6e6570fa,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/fe269637ca212eaba179461c6e6570fa.jpg,an old black and white photo of a dining room table
8507,https://resolver.kb.nl/resolve?urn=MMRHCE02:163635070:mpeg21:p00001,"Situation in South Africa still tense DEATH TOTAL RISE TO 66 JOHANNESBURG Cape Town, March 23 (Reuter A.P.).",93ad24f5fd48351a74dfe1ac691fdf20,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/93ad24f5fd48351a74dfe1ac691fdf20.jpg,an old newspaper clipping shows a group of men standing around a dead man
8505,https://resolver.kb.nl/resolve?urn=MMRHCE02:163620040:mpeg21:p00001,Three Thunderstreaks crashed over Gelderland. PILOTS ABLE TO SAVE THEMSELVES WITH EJECTION SEAT Lack of fuel,92c89d592e630ab686e72a8c3b96226e,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/92c89d592e630ab686e72a8c3b96226e.jpg,an old black and white photo of men sitting around a table
8533,https://resolver.kb.nl/resolve?urn=MMKB32:164680009:mpeg21:p00009,THE VICTORIA THEATRE.,9a0b6220034a069601e6fe5cc6cd5ad4,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/9a0b6220034a069601e6fe5cc6cd5ad4.jpg,an old black and white photo of a building on the corner of a street
8561,https://resolver.kb.nl/resolve?urn=MMKB19:000847039:mpeg21:p00001,NATO conference opened by Pres. Eisenhower,6adb248f59cfbb6e9756d48ae33f0bb4,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/6adb248f59cfbb6e9756d48ae33f0bb4.jpg,an old black and white photo of three men standing at a podium
8586,https://resolver.kb.nl/resolve?urn=KBPERS01:003231022:mpeg21:p00018,Dakar is not for fun. Westenberg and Van Eijk ride at full speed and finish,97baa6ca582ba170e463291d77f0b431,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/97baa6ca582ba170e463291d77f0b431.jpg,a black and white photo of two men in a car
8585,https://resolver.kb.nl/resolve?urn=KBPERS01:003231022:mpeg21:p00011,Waste is big business,d54bef148ed70d422503f1cd998b3a21,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/d54bef148ed70d422503f1cd998b3a21.jpg,an old black and white photo of a truck in front of a building
8584,https://resolver.kb.nl/resolve?urn=KBPERS01:003231022:mpeg21:p00003,Homeless people are 'talked into shelters',79fddac3e1b2bba8851848af46d9b004,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/79fddac3e1b2bba8851848af46d9b004.jpg,a homeless man sleeping in the doorway of an airport
8582,https://resolver.kb.nl/resolve?urn=KBPERS01:003231013:mpeg21:p00007,Putin visits Castro,7b04b0a005c3ba3002e70adad799f4ac,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/7b04b0a005c3ba3002e70adad799f4ac.jpg,a man in uniform saluting another man
8581,https://resolver.kb.nl/resolve?urn=KBPERS01:003231013:mpeg21:p00006,Fuel removed from Dodewaard without any problems,19f920371fbc69882990d7629c35716d,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/19f920371fbc69882990d7629c35716d.jpg,a man sitting on the ground next to barrels
8580,https://resolver.kb.nl/resolve?urn=KBPERS01:003231013:mpeg21:p00003,"At least 100,000 hemp growers in the Netherlands",7a8950a90728fa1707637eb3719497ef,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/7a8950a90728fa1707637eb3719497ef.jpg,an old photo of a man standing in a room full of marijuana plants
8578,https://resolver.kb.nl/resolve?urn=KBPERS01:003171014:mpeg21:p00013,"Still, fanfares at the commemoration of Marshall aid",135586bebc9894cc13edfbedb590d29c,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/135586bebc9894cc13edfbedb590d29c.jpg,an old black and white photo of a city skyline
8543,https://resolver.kb.nl/resolve?urn=KBPERS01:003165020:mpeg21:p00007,Yeltsin dismisses government,bc2cb28e624cce38778cf8f04d3964df,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/bc2cb28e624cce38778cf8f04d3964df.jpg,a black and white photo of a man in a suit and tie
8557,https://resolver.kb.nl/resolve?urn=KBPERS01:003165009:mpeg21:p00008,Many Chileans are not happy with Senator Pinochet,423412ffdd72bdea2c77d9501fcdfdb6,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/423412ffdd72bdea2c77d9501fcdfdb6.jpg,a black and white photo of an old man in a suit
8556,https://resolver.kb.nl/resolve?urn=KBPERS01:003165009:mpeg21:p00001,Jakarta police intervenes heavily in protests,983e3771990f4604747c53c007b30bab,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/983e3771990f4604747c53c007b30bab.jpg,an image of a woman with tape on her face
8575,https://resolver.kb.nl/resolve?urn=KBPERS01:003161023:mpeg21:p00019,WTC New York becomes leasing complex,93c3719062504cd79cf9f2bb72d10f62,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/93c3719062504cd79cf9f2bb72d10f62.jpg,the twin towers lit up at night in new york city
8555,https://resolver.kb.nl/resolve?urn=KBPERS01:003159008:mpeg21:p00010,"""VW with Renault in heavy trucks""",f940294caba0780fe5eb4c79aedecfe4,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/f940294caba0780fe5eb4c79aedecfe4.jpg,a group of people standing in front of a volkswagen golf
8554,https://resolver.kb.nl/resolve?urn=KBPERS01:003159008:mpeg21:p00009,Market more balanced after supermarket merger,30ae902e8733877cb177a910fc419f5d,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/30ae902e8733877cb177a910fc419f5d.jpg,a black and white photo of a woman pushing a shopping cart in front of a konmar store
8560,https://resolver.kb.nl/resolve?urn=KBPERS01:003147011:mpeg21:p00005,The clog is allowed on the work floor,7fae3bec54118930d59f95cd83c0a7f5,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/7fae3bec54118930d59f95cd83c0a7f5.jpg,a black and white photo of a ceiling full of shoes
8559,https://resolver.kb.nl/resolve?urn=KBPERS01:003147006:mpeg21:p00013,High time for European asylum policy,62acfd6c317bd1fa9def63fa2f8f6f2c,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/62acfd6c317bd1fa9def63fa2f8f6f2c.jpg,an old black and white photo of a man carrying a baby
8553,https://resolver.kb.nl/resolve?urn=KBNRC01:000034634:mpeg21:p002,IJ tunnel currently under construction over its full length,ef7a0e5b1c5ac5a8b27f0ee7920aca67,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/ef7a0e5b1c5ac5a8b27f0ee7920aca67.jpg,a black and white photo of a man standing in front of a camera
8542,https://resolver.kb.nl/resolve?urn=KBNRC01:000031232:mpeg21:p006,Bad weather hinders rehearsals for an open-air opera performance in Spanga. Mud and water fill the orchestra pit,d6efd93254dcaa45e86af90faf20559a,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/d6efd93254dcaa45e86af90faf20559a.jpg,a black and white photo of a group of people sitting in chairs
8550,https://resolver.kb.nl/resolve?urn=KBNRC01:000029055:mpeg21:p003,Installation of CPN mayor 'historic day' for Beerta,d988600c467a985bb10a84023e64ff1e,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/d988600c467a985bb10a84023e64ff1e.jpg,an old black and white photo of a man giving a woman a necklace
8551,https://resolver.kb.nl/resolve?urn=KBNRC01:000029055:mpeg21:p003,"More than 2,000 stutterers are waiting for treatment for their speech impediment",2f3dc1205da8b77a7ebf8e4ee1f8a95d,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/2f3dc1205da8b77a7ebf8e4ee1f8a95d.jpg,an old black and white photo of a woman sitting at a desk
8535,https://resolver.kb.nl/resolve?urn=KBNRC01:000028883:mpeg21:p007,"Cabinet cannot deny nor stop the political power of the elderly movement. The illusions of Lubbers' ""caring society""",c2886321edf3e12a580e48717838d56a,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/c2886321edf3e12a580e48717838d56a.jpg,an old black and white photo of a man standing in front of a room full of tables
8534,https://resolver.kb.nl/resolve?urn=KBNRC01:000028883:mpeg21:p003,Vondelkerk almost as new again,7eaca616ec9bf1033bb8baed4424aea7,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/7eaca616ec9bf1033bb8baed4424aea7.jpg,an old black and white photo of a church under construction
8537,https://resolver.kb.nl/resolve?urn=KBNRC01:000028852:mpeg21:p002,Coffee house resurrected from ruins,461c0476e694d30691b4830b3817edce,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/461c0476e694d30691b4830b3817edce.jpg,a group of people standing in front of a building
8536,https://resolver.kb.nl/resolve?urn=KBNRC01:000028840:mpeg21:p001,Employment plan stumbling block Van Agt Cabinet offers resignation,c1f0e5f900eb4927f573c2573bdc7e03,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/c1f0e5f900eb4927f573c2573bdc7e03.jpg,a black and white photo of three people standing in front of a window
8540,https://resolver.kb.nl/resolve?urn=KBNRC01:000028505:mpeg21:p005,Reagan Briefs Congress: Saudis Get Awacs,29ccb1f0e4dd56a95d882ac6a905329f,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/29ccb1f0e4dd56a95d882ac6a905329f.jpg,an old newspaper article with two men in uniform holding a knife
8538,https://resolver.kb.nl/resolve?urn=KBNRC01:000027391:mpeg21:p002,Massive lawsuit threatens Jordaan landlords,ef2d773cc5bac4c46b75f7681a8ce001,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/ef2d773cc5bac4c46b75f7681a8ce001.jpg,an old black and white photo of people walking down the street
8552,https://resolver.kb.nl/resolve?urn=KBNRC01:000026915:mpeg21:p005,Doubts in the US about the correctness of American Soviet policy,363f49392d332a179c83cc6bea93782f,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/363f49392d332a179c83cc6bea93782f.jpg,an old black and white photo of a man holding a rifle
8549,https://resolver.kb.nl/resolve?urn=KBNRC01:000026915:mpeg21:p004,French-German top can talk about their own 'third way' for Western Europe,545c20a559ffc50aaf86efb0c0a94c51,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/545c20a559ffc50aaf86efb0c0a94c51.jpg,a black and white photo of three men in suits and ties
8548,https://resolver.kb.nl/resolve?urn=KBNRC01:000026915:mpeg21:p003,French 'objecteurs' ask for political asylum,89e7bb4b80cd32da7acf233f2840b48c,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/89e7bb4b80cd32da7acf233f2840b48c.jpg,a group of people holding signs in front of a building
8531,https://resolver.kb.nl/resolve?urn=ddd:011198836:mpeg21:p003,Holiday spread in jeopardy for coastal hotels. Tourist flow failed,9853a0842854c38eb1efaf943c2ace04,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/9853a0842854c38eb1efaf943c2ace04.jpg,an old black and white photo of chairs on the beach
8530,https://resolver.kb.nl/resolve?urn=ddd:011198697:mpeg21:p001,LIBYA HOLDS PROTOTYPE AND CREW Fokker team suspected of espionage,ee50742b6e07d29f5ddbdb88c3fa6f33,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/ee50742b6e07d29f5ddbdb88c3fa6f33.jpg,a black and white photo of an airplane taking off
8529,https://resolver.kb.nl/resolve?urn=ddd:011198687:mpeg21:p013,Real Madrid has not seen Cruyff....,74fc232444af3ea1c1be0dc8c48e8107,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/74fc232444af3ea1c1be0dc8c48e8107.jpg,a black and white photo of two men playing soccer
8564,https://resolver.kb.nl/resolve?urn=ddd:011182224:mpeg21:p003,For The People's Friend. The Jews in Russia.,5434077d0114e9fd78ee8475bb9b02ff,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/5434077d0114e9fd78ee8475bb9b02ff.jpg,a black and white drawing of a map of europe
8563,https://resolver.kb.nl/resolve?urn=ddd:011181418:mpeg21:p001,Washington's Inauguration. A PROCLAMATION from the President.,de27b4068584f1501858105b13c127fb,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/de27b4068584f1501858105b13c127fb.jpg,a black and white poster with a picture of the men in a circle
8573,https://resolver.kb.nl/resolve?urn=ddd:011017011:mpeg21:p009,Thirteen years of the Berlin Wall,1f63fe5620a2163beaa0600ee48461f9,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/1f63fe5620a2163beaa0600ee48461f9.jpg,an old newspaper article with two people standing next to a wooden fence
8577,https://resolver.kb.nl/resolve?urn=ddd:010948913:mpeg21:p007,Empire State burns for a moment,bde4f0297f4efc20459e4d920e4e70d3,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/bde4f0297f4efc20459e4d920e4e70d3.jpg,an old black and white photo of the empire state building
8579,https://resolver.kb.nl/resolve?urn=ddd:010645110:mpeg21:p001,Largest building in the Netherlands from dusty to fresh,e07eef7ceac91ec069fa5d45957e2afd,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/e07eef7ceac91ec069fa5d45957e2afd.jpg,an old newspaper with a picture of a building with clouds in the sky
8545,https://resolver.kb.nl/resolve?urn=ddd:010644780:mpeg21:p016,First Lady Clinton changes White House,6d38796eca75d898d4a3da8adc664deb,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/6d38796eca75d898d4a3da8adc664deb.jpg,a black and white photo of a woman standing in front of a fireplace
8544,https://resolver.kb.nl/resolve?urn=ddd:010644780:mpeg21:p009,Le Pen is running for president,d59b02ac506f71d26d74afba4c71820e,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/d59b02ac506f71d26d74afba4c71820e.jpg,"person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person,"
8576,https://resolver.kb.nl/resolve?urn=ddd:010637884:mpeg21:p003,Explosion in New York,8374ad7230bd147a1eced64df7c643cf,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/8374ad7230bd147a1eced64df7c643cf.jpg,a black and white photo of three people in front of a tall building
8574,https://resolver.kb.nl/resolve?urn=ddd:010623845:mpeg21:p009,Employment offices may grant work permits. Ample job opportunities for East Germans,f7487466e0219f2d218bea3cd626185b,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/f7487466e0219f2d218bea3cd626185b.jpg,a black and white photo of a man working on a pile of dirt
8515,https://resolver.kb.nl/resolve?urn=ABCDDD:010882366:mpeg21:p001,AT LAST APOLLO LAUNCH Researchers want additional moon flights,7305276d7d262b9deca863ae7d26a9b4,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/7305276d7d262b9deca863ae7d26a9b4.jpg,an old black and white photo of the saturn rocket
8547,https://resolver.kb.nl/resolve?urn=ABCDDD:010882031:mpeg21:p007,OPPONENTS NUCLEAR ENERGY Germans ask for asylum,de5c435054630ba3d4636c95994ef4c2,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/de5c435054630ba3d4636c95994ef4c2.jpg,a group of people sitting at a table with a sign that says eso karl
8523,https://resolver.kb.nl/resolve?urn=ABCDDD:010880416:mpeg21:p010,Chat between HHIIC and Kampong DOUBLE HOCKEY ROUND EXCLUDES SURPRISE,72b10db254d21789e27c573abf5e5059,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/72b10db254d21789e27c573abf5e5059.jpg,a black and white photo of a group of men playing a game of hockey
8524,https://resolver.kb.nl/resolve?urn=ABCDDD:010880416:mpeg21:p010,Isaksson higher again: 5.54 m.,333595c317747bf8e07c50cb1fd56ba3,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/333595c317747bf8e07c50cb1fd56ba3.jpg,a black and white photo of a man jumping over a high jump
8521,https://resolver.kb.nl/resolve?urn=ABCDDD:010880416:mpeg21:p008,Heerenveen loses points in mediocre Frisian derby,a5ed38b681f1772d1f6d53b10a679350,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/a5ed38b681f1772d1f6d53b10a679350.jpg,a black and white photo of a soccer player on the ground
8522,https://resolver.kb.nl/resolve?urn=ABCDDD:010880416:mpeg21:p008,Brugge two points ahead of ANDERLECHT FALLS OVER LIERSE SK Tough duels at Arsenal - Stoke,19c16f14d7c6a4bfc7b7905aaa078291,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/19c16f14d7c6a4bfc7b7905aaa078291.jpg,a black and white photo of a group of men playing soccer
8520,https://resolver.kb.nl/resolve?urn=ABCDDD:010880416:mpeg21:p005,ACOUSTIC PLAYGROUND IN CITY MUSEUM,c5fd0d44f13a29e8bf52784c9bed581f,/content/news_images/newsimages_test_and_evaluation_26_v1.0/news_images_evaluation/c5fd0d44f13a29e8bf52784c9bed581f.jpg,an old newspaper article about a group of people looking at a model
